No.;Time;;;;;;Time 2;Time 1;Delay;;;Delay 1;Delay 2;Jitter
229;4,45767;;;;;;4,457741;4,45767;7,1E-05;;;-7,8E-05;0,000149;0,000227
230;4,457741;;;;;;4,45789;4,457741;0,000149;;;0,000149;0;-0,000149
231;4,45789;;;;;;4,45789;4,45789;0;;;-4,4E-05;4,4E-05;8,8E-05
232;4,45789;;;;;;4,457934;4,45789;4,4E-05;;;-0,001834;0,001878;0,003712
233;4,457934;;;;;;4,459812;4,457934;0,001878;;;0,001212;0,000666;-0,000546
234;4,459812;;;;;;4,460478;4,459812;0,000666;;;-0,001905;0,002571;0,004476
235;4,460478;;;;;;4,463049;4,460478;0,002571;;;0,002369;0,000202;-0,002167
236;4,463049;;;;;;4,463251;4,463049;0,000202;;;-0,000188;0,00039;0,000578
237;4,463251;;;;;;4,463641;4,463251;0,00039;;;0,000272;0,000118;-0,000154
238;4,463641;;;;;;4,463759;4,463641;0,000118;;;-0,000265;0,000383;0,000648
239;4,463759;;;;;;4,464142;4,463759;0,000383;;;-0,003027;0,00341;0,006437
240;4,464142;;;;;;4,467552;4,464142;0,00341;;;0,003294;0,000116;-0,003178
241;4,467552;;;;;;4,467668;4,467552;0,000116;;;7,5E-05;4,1E-05;-3,4E-05
242;4,467668;;;;;;4,467709;4,467668;4,1E-05;;;4E-06;3,7E-05;3,3E-05
243;4,467709;;;;;;4,467746;4,467709;3,7E-05;;;1E-06;3,6E-05;3,5E-05
244;4,467746;;;;;;4,467782;4,467746;3,6E-05;;;-6E-06;4,2E-05;4,8E-05
245;4,467782;;;;;;4,467824;4,467782;4,2E-05;;;4,2E-05;0;-4,2E-05
246;4,467824;;;;;;4,467824;4,467824;0;;;-6,7E-05;6,7E-05;0,000134
247;4,467824;;;;;;4,467891;4,467824;6,7E-05;;;6,7E-05;0;-6,7E-05
248;4,467891;;;;;;4,467891;4,467891;0;;;0;0;0
249;4,467891;;;;;;4,467891;4,467891;0;;;-8,4E-05;8,4E-05;0,000168
250;4,467891;;;;;;4,467975;4,467891;8,4E-05;;;3,8E-05;4,6E-05;8E-06
251;4,467975;;;;;;4,468021;4,467975;4,6E-05;;;-2,8E-05;7,4E-05;0,000102
252;4,468021;;;;;;4,468095;4,468021;7,4E-05;;;-0,009574;0,009648;0,019222
253;4,468095;;;;;;4,477743;4,468095;0,009648;;;0,009648;0;-0,009648
254;4,477743;;;;;;4,477743;4,477743;0;;;0;0;0
255;4,477743;;;;;;4,477743;4,477743;0;;;0;0;0
256;4,477743;;;;;;4,477743;4,477743;0;;;-0,02487;0,02487;0,04974
257;4,477743;;;;;;4,502613;4,477743;0,02487;;;0,024454;0,000416;-0,024038
258;4,502613;;;;;;4,503029;4,502613;0,000416;;;0,000148;0,000268;0,00012
259;4,503029;;;;;;4,503297;4,503029;0,000268;;;-0,000137;0,000405;0,000542
260;4,503297;;;;;;4,503702;4,503297;0,000405;;;0,000281;0,000124;-0,000157
261;4,503702;;;;;;4,503826;4,503702;0,000124;;;-1,8E-05;0,000142;0,00016
262;4,503826;;;;;;4,503968;4,503826;0,000142;;;3,7E-05;0,000105;6,8E-05
263;4,503968;;;;;;4,504073;4,503968;0,000105;;;-2,5E-05;0,00013;0,000155
264;4,504073;;;;;;4,504203;4,504073;0,00013;;;-1E-06;0,000131;0,000132
265;4,504203;;;;;;4,504334;4,504203;0,000131;;;1,7E-05;0,000114;9,7E-05
266;4,504334;;;;;;4,504448;4,504334;0,000114;;;-0,016207;0,016321;0,032528
267;4,504448;;;;;;4,520769;4,504448;0,016321;;;0,016145;0,000176;-0,015969
268;4,520769;;;;;;4,520945;4,520769;0,000176;;;0,000134;4,2E-05;-9,2E-05
269;4,520945;;;;;;4,520987;4,520945;4,2E-05;;;-0,016819;0,016861;0,03368
270;4,520987;;;;;;4,537848;4,520987;0,016861;;;0,003243;0,013618;0,010375
271;4,537848;;;;;;4,551466;4,537848;0,013618;;;0,013314;0,000304;-0,01301
272;4,551466;;;;;;4,55177;4,551466;0,000304;;;3,6E-05;0,000268;0,000232
